R-DRE-5368287	Mitochondrial translation	46	55	2	2	2	2	2	2	2	2	2	11	53	4826	0.99964	0.0089424	0.0089424	3.64	447915;393748	mrpl53;mrpl57	ENSDARG00000008920;ENSDARG00000007285		559.293	559.293	478.594	114.12562026994654	517.8940497536483	97.96382515500386	289.8845	289.8845	270.381	27.582114213743104	279.879116709876	23.67609838920637	1085.509	1085.509	847.148	337.093358940813	963.2287340776139	289.3561918706775					478.594;639.992	270.381;309.388	847.148;1323.87	2	0	2	447915;393748	ENSDARG00000008920;ENSDARG00000007285	559.293	559.293	114.12562026994654	289.8845	289.8845	27.582114213743104	1085.509	1085.509	337.093358940813	478.594;639.992	270.381;309.388	847.148;1323.87	0															0						Linear,2(1)	Infinity	Infinity	3.6873879432678223	Infinity	NaN	Infinity	401.12296000000003	717.46304	251.65764	328.11136	618.3214400000002	1552.6965599999999	UP	1.0	0.0	0.0	
R-DRE-5389840	Mitochondrial translation elongation	46	53	2	2	2	2	2	2	2	2	2	11	51	4828	0.99968	0.008323	0.008323	3.77	447915;393748	mrpl53;mrpl57	ENSDARG00000008920;ENSDARG00000007285		559.293	559.293	478.594	114.12562026994654	517.8940497536483	97.96382515500386	289.8845	289.8845	270.381	27.582114213743104	279.879116709876	23.67609838920637	1085.509	1085.509	847.148	337.093358940813	963.2287340776139	289.3561918706775					478.594;639.992	270.381;309.388	847.148;1323.87	2	0	2	447915;393748	ENSDARG00000008920;ENSDARG00000007285	559.293	559.293	114.12562026994654	289.8845	289.8845	27.582114213743104	1085.509	1085.509	337.093358940813	478.594;639.992	270.381;309.388	847.148;1323.87	0															0						Linear,2(1)	Infinity	Infinity	3.6873879432678223	Infinity	NaN	Infinity	401.12296000000003	717.46304	251.65764	328.11136	618.3214400000002	1552.6965599999999	UP	1.0	0.0	0.0	
R-DRE-5419276	Mitochondrial translation termination	46	54	2	2	2	2	2	2	2	2	2	11	52	4827	0.99966	0.0086302	0.0086302	3.7	447915;393748	mrpl53;mrpl57	ENSDARG00000008920;ENSDARG00000007285		559.293	559.293	478.594	114.12562026994654	517.8940497536483	97.96382515500386	289.8845	289.8845	270.381	27.582114213743104	279.879116709876	23.67609838920637	1085.509	1085.509	847.148	337.093358940813	963.2287340776139	289.3561918706775					478.594;639.992	270.381;309.388	847.148;1323.87	2	0	2	447915;393748	ENSDARG00000008920;ENSDARG00000007285	559.293	559.293	114.12562026994654	289.8845	289.8845	27.582114213743104	1085.509	1085.509	337.093358940813	478.594;639.992	270.381;309.388	847.148;1323.87	0															0						Linear,2(1)	Infinity	Infinity	3.6873879432678223	Infinity	NaN	Infinity	401.12296000000003	717.46304	251.65764	328.11136	618.3214400000002	1552.6965599999999	UP	1.0	0.0	0.0	
R-DRE-2995410	Nuclear Envelope (NE) Reassembly	21	35	1	0	0	0	0	0	1	0	0	13	35	4844	0.91078	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9615933	Postmitotic nuclear pore complex (NPC) reformation	10	15	1	0	0	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8873719	RAB geranylgeranylation	16	40	2	1	0	2	2	1	2	0	0	13	40	4839	0.89865	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371568	Attenuation phase	6	11	1	0	0	1	1	1	1	0	0	13	11	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371571	HSF1-dependent transactivation	9	17	1	0	0	1	1	1	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	29	41	4	3	3	2	2	1	4	1	1	12	40	4839	0.99496	0.10376	0.10376	2.44	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-211976	Endogenous sterols	10	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371511	HSF1 activation	7	9	1	0	0	1	1	1	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-373760	L1CAM interactions	9	13	1	1	0	1	1	1	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174411	Polymerase switching on the C-strand of the telomere	7	15	1	1	1	1	1	1	1	1	1	12	14	4865	0.99933	0.039183	0.039183	6.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-174417	Telomere C-strand (Lagging Strand) Synthesis	10	19	1	1	1	1	1	1	1	1	1	12	18	4861	0.99891	0.04939	0.04939	5.26	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-1482788	Acyl chain remodelling of PC	4	15	1	0	0	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1482839	Acyl chain remodelling of PE	5	15	1	0	0	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1482925	Acyl chain remodelling of PG	3	8	1	0	0	0	0	0	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483166	Synthesis of PA	8	24	1	0	0	0	0	0	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022857	Keratan sulfate degradation	2	6	1	0	0	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8956319	Nucleobase catabolism	9	20	2	2	2	0	0	0	2	0	0	13	20	4859	0.94807	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71384	Ethanol oxidation	5	6	2	1	1	1	1	1	2	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689603	UCH proteinases	42	61	4	3	3	2	2	1	4	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-201688	WNT mediated activation of DVL	4	7	1	0	0	0	0	0	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4641258	Degradation of DVL	28	42	4	3	3	2	2	1	4	1	1	12	41	4838	0.99471	0.10616	0.10616	2.38	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	28	44	1	1	1	1	1	1	1	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-6807505	RNA polymerase II transcribes snRNA genes	25	51	1	1	0	1	1	1	1	0	0	13	51	4828	0.87249	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	30	41	4	3	3	2	2	1	4	1	1	12	40	4839	0.99496	0.10376	0.10376	2.44	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-3232142	SUMOylation of ubiquitinylation proteins	12	27	2	1	1	0	0	0	2	0	0	13	27	4852	0.9305	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8875555	MET activates RAP1 and RAC1	7	10	1	1	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3899300	SUMOylation of transcription cofactors	19	34	1	0	0	0	0	0	1	0	0	13	34	4845	0.91322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-193648	NRAGE signals death through JNK	9	25	2	1	0	1	1	1	2	0	0	13	25	4854	0.93549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-204998	Cell death signalling via NRAGE, NRIF and NADE	16	34	2	1	0	1	1	1	2	0	0	13	34	4845	0.91322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-156590	Glutathione conjugation	14	19	1	1	1	0	0	0	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-187577	SCF(Skp2)-mediated degradation of p27/p21	31	44	4	3	3	2	2	1	4	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69563	p53-Dependent G1 DNA Damage Response	31	44	4	3	3	2	2	1	4	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69580	p53-Dependent G1/S DNA damage checkpoint	31	44	4	3	3	2	2	1	4	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69615	G1/S DNA Damage Checkpoints	31	46	4	3	3	2	2	1	4	1	1	12	45	4834	0.99368	0.11571	0.11571	2.17	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8878159	Transcriptional regulation by RUNX3	39	54	4	3	3	2	2	1	4	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9013407	RHOH GTPase cycle	12	20	2	0	0	2	2	1	2	0	0	13	20	4859	0.94807	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-156584	Cytosolic sulfonation of small molecules	9	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	9	12	1	1	1	1	1	1	1	1	1	12	11	4868	0.99958	0.031462	0.031462	8.33	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-174143	APC/C-mediated degradation of cell cycle proteins	37	61	4	3	3	2	2	1	4	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-174154	APC/C:Cdc20 mediated degradation of Securin	33	52	4	3	3	2	2	1	4	1	1	12	51	4828	0.99198	0.12986	0.12986	1.92	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	34	54	4	3	3	2	2	1	4	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	34	56	4	3	3	2	2	1	4	1	1	12	55	4824	0.99074	0.13917	0.13917	1.79	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	34	56	4	3	3	2	2	1	4	1	1	12	55	4824	0.99074	0.13917	0.13917	1.79	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-453276	Regulation of mitotic cell cycle	37	61	4	3	3	2	2	1	4	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
